id_auditor_avalicao,request_item_id,auditor_decision,agent_decision,agent_decision_not_found,agent_justification,auditor_justification,agent_decision_error
1,31102001,False,False,False,"justificativa insuficiente","falta de informações",False
1,31102002,True,True,False,"decisão correta","justificativa clara",False
2,31102003,True,True,False,"decisão válida","justificativa adequada",False
2,31102004,False,True,False,"revisado pelo agente","falta de dados",True
3,31102005,False,False,False,"falta de clareza","decisão errada",False
3,31102006,True,False,False,"erro de julgamento","avaliação incorreta",True
4,31102007,True,True,False,"decisão correta","justificativa forte",False
4,31102008,False,True,False,"justificativa falha","revisão necessária",True
5,31102009,False,False,False,"falta de evidências","erro na verificação",False
6,31102010,True,True,False,"análise consistente","justificativa válida",False
7,31102011,False,True,False,"revisão necessária","justificativa insuficiente",True
8,31102012,True,True,False,"decisão adequada","justificativa clara",False
9,31102013,False,True,False,"erro na análise","decisão inconsistente",True
10,31102014,True,True,False,"avaliação sólida","justificativa forte",False
11,31102015,True,True,False,"decisão correta","justificativa forte",False
11,31102016,False,False,False,"falta de clareza","decisão errada",False
12,31102017,True,False,False,"erro de avaliação","falta de evidências",True
13,31102018,False,True,False,"decisão inconsistente","revisão necessária",True
13,31102019,True,True,False,"justificativa clara","análise correta",False
14,31102020,True,True,False,"decisão adequada","justificativa clara",False
15,31102021,False,False,False,"falta de dados","decisão inconsistente",False
16,31102022,False,True,False,"erro na análise","decisão inconsistente",True
17,31102023,True,True,False,"decisão correta","justificativa sólida",False
18,31102024,False,False,False,"falta de justificativa","análise errada",False
19,31102025,True,True,False,"justificativa válida","avaliação consistente",False
20,31102026,False,True,False,"erro na avaliação","decisão inconsistente",True
21,31102027,False,True,False,"justificativa insuficiente","decisão errada",True
22,31102028,True,True,False,"decisão justificada","análise correta",False
23,31102029,True,True,False,"justificativa sólida","decisão correta",False
24,31102030,False,True,False,"falta de clareza","decisão inconsistente",True
25,31102031,True,False,False,"avaliação correta","justificativa válida",True
26,31102032,False,False,False,"falta de dados","decisão errada",False
27,31102033,False,True,False,"erro na verificação","decisão inconsistente",True
28,31102034,True,True,False,"justificativa forte","avaliação sólida",False
29,31102035,False,False,False,"falta de evidências","decisão clara",False
30,31102036,True,False,False,"decisão inadequada","falta de clareza",True
31,31102037,False,True,False,"justificativa não encontrada","decisão não justificada",True
32,31102038,True,False,False,"avaliação correta","justificativa forte",True
33,31102039,False,True,False,"erro na análise","decisão inadequada",True
34,31102040,True,True,False,"decisão correta","justificativa sólida",False
35,31102041,False,False,False,"falta de clareza","decisão clara",False
36,31102042,True,True,False,"avaliação adequada","justificativa correta",False
37,31102043,True,True,False,"justificativa sólida","decisão clara",False
38,31102044,False,True,False,"erro na avaliação","justificativa insuficiente",True
39,31102045,True,False,False,"decisão inadequada","falta de dados",True
40,31102046,False,False,False,"falta de informações","decisão clara",False
41,31102047,False,True,False,"justificativa não encontrada","decisão errada",True
42,31102048,True,True,False,"avaliação correta","justificativa forte",False
43,31102049,False,False,False,"falta de justificativa","decisão inconsistente",False
44,31102050,True,True,False,"justificativa clara","análise correta",False
45,31102051,False,False,False,"falta de clareza","decisão clara",False
46,31102052,True,False,False,"erro de avaliação","falta de dados",True
47,31102053,False,True,False,"decisão inconsistente","justificativa insuficiente",True
48,31102054,True,True,False,"avaliação correta","justificativa forte",False
49,31102055,False,False,False,"falta de evidências","decisão errada",False
50,31102056,True,True,False,"decisão adequada","justificativa clara",False
51,31102057,True,False,False,"avaliação errada","falta de informações",True
52,31102058,False,True,False,"decisão inadequada","justificativa não encontrada",True
53,31102059,True,True,False,"justificativa forte","decisão sólida",False
54,31102060,False,False,False,"falta de clareza","decisão clara",False
55,31102061,True,True,False,"avaliação adequada","justificativa clara",False
56,31102062,True,False,False,"erro na avaliação","justificativa insuficiente",True
57,31102063,False,True,False,"decisão errada","justificativa não encontrada",True
58,31102064,True,True,False,"avaliação correta","decisão correta",False
59,31102065,False,False,False,"falta de dados relevantes","decisão inconsistente",False
60,31102066,True,True,False,"justificativa sólida","decisão sólida",False
61,31102067,True,False,False,"decisão inadequada","justificativa não encontrada",True
62,31102068,False,True,False,"erro na avaliação","decisão inconsistente",True
63,31102069,True,True,False,"avaliação correta","justificativa forte",False
64,31102070,False,False,False,"falta de clareza","decisão errada",False
65,31102071,True,True,False,"decisão baseada em critérios","justificativa adequada",False
66,31102072,True,False,False,"avaliação incorreta","falta de dados",True
67,31102073,False,True,False,"decisão inconsistente","justificativa insuficiente",True
68,31102074,True,True,False,"justificativa clara","avaliação correta",False
69,31102075,False,False,False,"falta de dados","decisão errada",False
70,31102076,True,True,False,"decisão correta","justificativa forte",False
71,31102077,False,True,False,"erro na avaliação","decisão inconsistente",True
72,31102078,True,False,False,"decisão não justificada","falta de clareza",True
73,31102079,False,False,False,"falta de evidências","decisão errada",False
74,31102080,True,True,False,"avaliação correta","justificativa sólida",False
75,31102081,False,True,False,"erro de verificação","decisão inconsistente",True
76,31102082,True,False,False,"justificativa forte","avaliação errada",True
77,31102083,False,True,False,"falta de clareza","decisão inconsistente",True
78,31102084,True,True,False,"justificativa clara","avaliação sólida",False
79,31102085,False,False,False,"falta de dados relevantes","decisão errada",False
80,31102086,True,True,False,"decisão correta","justificativa forte",False
81,31102087,True,False,False,"erro na avaliação","falta de clareza",True
82,31102088,False,True,False,"decisão não justificada","justificativa insuficiente",True
83,31102089,True,True,False,"avaliação correta","decisão correta",False
84,31102090,False,False,False,"falta de evidências","decisão errada",False
85,31102091,True,True,False,"justificativa sólida","avaliação correta",False
86,31102092,True,False,False,"decisão não justificada","falta de clareza",True
87,31102093,False,True,False,"erro na avaliação","decisão inconsistente",True
88,31102094,True,True,False,"decisão correta","justificativa forte",False
89,31102095,False,False,False,"falta de dados relevantes","decisão errada",False
90,31102096,True,True,False,"justificativa clara","avaliação sólida",False
91,31102097,True,False,False,"erro na verificação","decisão inadequada",True
92,31102098,False,True,False,"decisão inconsistente","justificativa insuficiente",True
93,31102099,True,True,False,"avaliação correta","justificativa forte",False
94,31102100,False,False,False,"falta de clareza","decisão errada",False
95,31102101,True,False,False,"avaliação insuficiente","justificativa não encontrada",True
96,31102102,False,True,False,"decisão errada","falta de dados",True
97,31102103,True,True,False,"decisão sólida","avaliação correta",False
98,31102104,False,False,False,"falta de justificativa","decisão errada",False
99,31102105,True,True,False,"justificativa forte","decisão correta",False
100,31102106,False,NaN,True,"erro na análise","decisão inconsistente",NaN